[23:14:50] [main/INFO]: Loading Minecraft 1.20.1 with Fabric Loader 0.16.5
[23:14:50] [main/INFO]: Loading 4 mods:
	- fabricloader 0.16.5
	   \-- mixinextras 0.4.1
	- java 17
	- minecraft 1.20.1
[23:14:50] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.7 Source=file:/workspaces/mc-repost/servidor_minecraft/libraries/net/fabricmc/sponge-mixin/0.15.3+mixin.0.8.7/sponge-mixin-0.15.3+mixin.0.8.7.jar Service=Knot/Fabric Env=SERVER
[23:14:55] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[23:14:57] [main/INFO]: Loaded 7 recipes
[23:14:57] [main/INFO]: Loaded 1271 advancements
[23:14:58] [Server thread/INFO]: Starting minecraft server version 1.20.1
[23:14:58] [Server thread/INFO]: Loading properties
[23:14:58] [Server thread/INFO]: Default game type: SURVIVAL
[23:14:58] [Server thread/INFO]: Generating keypair
[23:14:58] [Server thread/INFO]: Starting Minecraft server on *:25565
[23:14:58] [Server thread/INFO]: Using epoll channel type
[23:14:58] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[23:14:58] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[23:14:58] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[23:14:58] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[23:14:58] [Server thread/INFO]: Preparing level "world"
[23:15:15] [Worker-Main-2/INFO]: Preparing spawn area: 17%
[23:15:15] [Worker-Main-2/INFO]: Preparing spawn area: 19%
[23:15:16] [Worker-Main-3/INFO]: Preparing spawn area: 21%
[23:15:16] [Worker-Main-2/INFO]: Preparing spawn area: 23%
[23:15:17] [Worker-Main-3/INFO]: Preparing spawn area: 24%
[23:15:17] [Worker-Main-1/INFO]: Preparing spawn area: 26%
[23:15:18] [Worker-Main-1/INFO]: Preparing spawn area: 29%
[23:15:18] [Worker-Main-3/INFO]: Preparing spawn area: 31%
[23:15:19] [Worker-Main-3/INFO]: Preparing spawn area: 33%
[23:15:19] [Worker-Main-3/INFO]: Preparing spawn area: 35%
[23:15:20] [Worker-Main-3/INFO]: Preparing spawn area: 37%
[23:15:20] [Worker-Main-2/INFO]: Preparing spawn area: 40%
[23:15:21] [Worker-Main-1/INFO]: Preparing spawn area: 42%
[23:15:21] [Worker-Main-1/INFO]: Preparing spawn area: 44%
[23:15:22] [Worker-Main-2/INFO]: Preparing spawn area: 46%
[23:15:22] [Worker-Main-3/INFO]: Preparing spawn area: 47%
[23:15:23] [Worker-Main-2/INFO]: Preparing spawn area: 49%
[23:15:23] [Worker-Main-1/INFO]: Preparing spawn area: 51%
[23:15:24] [Worker-Main-3/INFO]: Preparing spawn area: 54%
[23:15:24] [Worker-Main-1/INFO]: Preparing spawn area: 56%
[23:15:25] [Worker-Main-3/INFO]: Preparing spawn area: 58%
[23:15:25] [Worker-Main-1/INFO]: Preparing spawn area: 60%
[23:15:26] [Worker-Main-1/INFO]: Preparing spawn area: 63%
[23:15:26] [Worker-Main-3/INFO]: Preparing spawn area: 66%
[23:15:27] [Worker-Main-2/INFO]: Preparing spawn area: 68%
[23:15:27] [Worker-Main-3/INFO]: Preparing spawn area: 70%
[23:15:28] [Worker-Main-1/INFO]: Preparing spawn area: 71%
[23:15:28] [Worker-Main-1/INFO]: Preparing spawn area: 73%
[23:15:29] [Worker-Main-1/INFO]: Preparing spawn area: 76%
[23:15:29] [Worker-Main-3/INFO]: Preparing spawn area: 80%
[23:15:30] [Worker-Main-2/INFO]: Preparing spawn area: 82%
[23:15:30] [Worker-Main-1/INFO]: Preparing spawn area: 84%
[23:15:31] [Worker-Main-1/INFO]: Preparing spawn area: 85%
[23:15:31] [Worker-Main-1/INFO]: Preparing spawn area: 88%
[23:15:32] [Worker-Main-3/INFO]: Preparing spawn area: 91%
[23:15:32] [Worker-Main-2/INFO]: Preparing spawn area: 93%
[23:15:33] [Worker-Main-2/INFO]: Preparing spawn area: 96%
[23:15:33] [Server thread/INFO]: Time elapsed: 28987 ms
[23:15:33] [Server thread/INFO]: Done (35.307s)! For help, type "help"
[23:15:33] [Server thread/INFO]: Unknown or incomplete command, see below for error
[23:15:33] [Server thread/INFO]: home/codespace/.python/current/bin/python /workspaces/mc-repost/msx.py<--[HERE]
